"date","traffic_source","campaign_name","device_category","country","city","sessions","product_views","add_to_cart","begin_checkout","purchases","revenue","conversion_rate","aov","meta_spend","meta_reach","meta_impressions","meta_link_clicks","meta_add_to_cart","meta_checkouts","meta_purchases","meta_conversion_value"
"2022-01-01","Meta","KS_AlwaysOn","mobile","India","Pune",83,394,6,3,6,10002.82,0.0723,1667.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Meta","KS_AlwaysOn","desktop","India","Mumbai",45,124,2,1,6,10159.17,0.1333,1693.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Meta","KS_AlwaysOn","tablet","India","Bengaluru",4,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Google","","mobile","India","Ahmedabad",40,110,2,1,1,1768.7,0.025,1768.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Google","","desktop","India","Jaipur",19,54,0,0,3,5194.3,0.1579,1731.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Google","","tablet","India","Bengaluru",0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Influencer","","mobile","India","Surat",27,89,0,0,2,3544.73,0.0741,1772.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Influencer","","desktop","India","Ahmedabad",12,30,0,0,2,3685.27,0.1667,1842.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Influencer","","tablet","India","Bengaluru",3,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Organic Instagram","","mobile","India","Delhi",17,61,1,0,3,6083.59,0.1765,2027.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Organic Instagram","","desktop","India","Surat",9,28,0,0,1,1979.41,0.1111,1979.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Organic Instagram","","tablet","India","Delhi",2,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Email/SMS","","mobile","India","Hyderabad",15,49,1,0,1,1714.07,0.0667,1714.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Email/SMS","","desktop","India","Lucknow",4,12,0,0,1,1903.93,0.25,1903.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-01","Email/SMS","","tablet","India","Delhi",3,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Meta","KS_AlwaysOn","mobile","India","Pune",105,521,7,3,4,7190.56,0.0381,1797.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Meta","KS_AlwaysOn","desktop","India","Hyderabad",33,135,1,0,2,3156.44,0.0606,1578.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Meta","KS_AlwaysOn","tablet","India","Indore",9,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Google","","mobile","India","Hyderabad",38,157,2,1,3,5842.0,0.0789,1947.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Google","","desktop","India","Jaipur",8,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Google","","tablet","India","Indore",1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Influencer","","mobile","India","Hyderabad",28,56,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Influencer","","desktop","India","Indore",19,68,1,0,2,3445.0,0.1053,1722.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Influencer","","tablet","India","Ahmedabad",2,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Organic Instagram","","mobile","India","Jaipur",17,51,1,0,2,3648.0,0.1176,1824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Organic Instagram","","desktop","India","Hyderabad",5,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Organic Instagram","","tablet","India","Indore",0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Email/SMS","","mobile","India","Pune",17,50,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
