"SKU","snapshot_date","units_in_stock","units_sold_7d","units_sold_30d","units_sold_60d","days_of_inventory_left","dead_stock_flag","total_order_quantity","avg_cost_per_unit","avg_lead_time","expected_delivery","actual_delivery"
"SKU-SHI-0001","2022-01-02",36,12,12,12,90.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0002","2022-01-02",37,9,9,9,123.3,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0003","2022-01-02",61,7,7,7,261.4,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0004","2022-01-02",118,2,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0005","2022-01-02",53,3,3,3,530.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0006","2022-01-02",92,3,3,3,920.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0007","2022-01-02",100,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0008","2022-01-02",132,3,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0009","2022-01-02",95,2,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0010","2022-01-02",84,2,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0011","2022-01-02",122,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-TSH-0012","2022-01-02",58,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0013","2022-01-02",90,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0014","2022-01-02",53,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0015","2022-01-02",140,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-PAN-0016","2022-01-02",127,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0017","2022-01-02",82,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-PAN-0018","2022-01-02",121,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0019","2022-01-02",60,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0020","2022-01-02",90,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0021","2022-01-02",85,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-PAN-0022","2022-01-02",106,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHO-0023","2022-01-02",128,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0024","2022-01-02",63,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-JAC-0025","2022-01-02",94,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0026","2022-01-02",87,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-JAC-0027","2022-01-02",49,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-PAN-0028","2022-01-02",107,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-TSH-0029","2022-01-02",97,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0030","2022-01-02",62,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-JAC-0031","2022-01-02",49,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-TSH-0032","2022-01-02",96,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0033","2022-01-02",120,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-PAN-0034","2022-01-02",65,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0035","2022-01-02",53,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0036","2022-01-02",129,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0037","2022-01-02",116,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0038","2022-01-02",47,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHO-0039","2022-01-02",114,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0040","2022-01-02",127,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-TSH-0041","2022-01-02",129,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0042","2022-01-02",125,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0043","2022-01-02",61,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-JAC-0044","2022-01-02",108,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0045","2022-01-02",109,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0046","2022-01-02",130,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-PAN-0047","2022-01-02",103,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0048","2022-01-02",53,2,2,2,795.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0049","2022-01-02",126,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHO-0050","2022-01-02",123,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0051","2022-01-02",74,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0052","2022-01-02",78,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-JAC-0053","2022-01-02",72,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0054","2022-01-02",78,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-JAC-0055","2022-01-02",111,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0001","2022-01-09",8,28,40,40,6.0,"N",93.0,705.0,57.0,"2022-03-02","2022-03-07"
"SKU-PAN-0002","2022-01-09",23,14,23,23,30.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0003","2022-01-09",52,9,16,16,97.5,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0004","2022-01-09",108,10,12,12,270.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0005","2022-01-09",47,6,9,9,156.7,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0006","2022-01-09",89,3,6,6,445.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0007","2022-01-09",97,3,4,4,727.5,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0008","2022-01-09",129,3,6,6,645.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0009","2022-01-09",91,4,6,6,455.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0010","2022-01-09",82,2,4,4,615.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0011","2022-01-09",122,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-TSH-0012","2022-01-09",57,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0013","2022-01-09",90,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0014","2022-01-09",50,3,4,4,375.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0015","2022-01-09",137,3,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0016","2022-01-09",127,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0017","2022-01-09",79,3,3,3,790.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0018","2022-01-09",120,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0019","2022-01-09",58,2,3,3,580.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0020","2022-01-09",89,1,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0021","2022-01-09",83,2,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0022","2022-01-09",106,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHO-0023","2022-01-09",127,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0024","2022-01-09",62,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0025","2022-01-09",94,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0026","2022-01-09",87,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-JAC-0027","2022-01-09",48,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0028","2022-01-09",107,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-TSH-0029","2022-01-09",97,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0030","2022-01-09",62,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-JAC-0031","2022-01-09",48,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0032","2022-01-09",96,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0033","2022-01-09",119,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0034","2022-01-09",65,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0035","2022-01-09",53,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0036","2022-01-09",129,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0037","2022-01-09",116,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0038","2022-01-09",46,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0039","2022-01-09",113,1,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0040","2022-01-09",127,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-TSH-0041","2022-01-09",128,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0042","2022-01-09",125,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0043","2022-01-09",59,2,2,2,885.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0044","2022-01-09",107,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0045","2022-01-09",108,1,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0046","2022-01-09",129,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0047","2022-01-09",102,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0048","2022-01-09",53,0,2,2,795.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0049","2022-01-09",124,2,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0050","2022-01-09",121,2,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0051","2022-01-09",72,2,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0052","2022-01-09",78,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-JAC-0053","2022-01-09",70,2,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0054","2022-01-09",78,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-JAC-0055","2022-01-09",111,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0001","2022-01-16",0,41,81,81,0.0,"N",0.0,0.0,0.0,"",""
